"order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","country","city","state","postal_code","region","product_id","category","Product_name","sales","quantity","discount","profit"
CA-2016-152156,"2016-11-08","2016-11-11",Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,"42420",South,FUR-BO-10001798,Furniture,Bookcases,261.9600,2,0.00,41.9136
CA-2016-152156,"2016-11-08","2016-11-11",Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,"42420",South,FUR-CH-10000454,Furniture,Chairs,731.9400,3,0.00,219.5820
CA-2016-138688,"2016-06-12","2016-06-16",Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,"90036",West,OFF-LA-10000240,Office Supplies,Labels,14.6200,2,0.00,6.8714
US-2015-108966,"2015-10-11","2015-10-18",Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,"33311",South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.0310
US-2015-108966,"2015-10-11","2015-10-18",Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,"33311",South,OFF-ST-10000760,Office Supplies,Storage,22.3680,2,0.20,2.5164
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,FUR-FU-10001487,Furniture,Furnishings,48.8600,7,0.00,14.1694
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,OFF-AR-10002833,Office Supplies,Art,7.2800,4,0.00,1.9656
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,TEC-PH-10002275,Technology,Phones,907.1520,6,0.20,90.7152
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,OFF-BI-10003910,Office Supplies,Binders,18.5040,3,0.20,5.7825
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,OFF-AP-10002892,Office Supplies,Appliances,114.9000,5,0.00,34.4700
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,FUR-TA-10001539,Furniture,Tables,1706.1840,9,0.20,85.3092
CA-2014-115812,"2014-06-09","2014-06-14",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,"90032",West,TEC-PH-10002033,Technology,Phones,911.4240,4,0.20,68.3568
CA-2017-114412,"2017-04-15","2017-04-20",Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,"28027",South,OFF-PA-10002365,Office Supplies,Paper,15.5520,3,0.20,5.4432
CA-2016-161389,"2016-12-05","2016-12-10",Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,"98103",West,OFF-BI-10003656,Office Supplies,Binders,407.9760,3,0.20,132.5922
US-2015-118983,"2015-11-22","2015-11-26",Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,"76106",Central,OFF-AP-10002311,Office Supplies,Appliances,68.8100,5,0.80,-123.8580
US-2015-118983,"2015-11-22","2015-11-26",Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,"76106",Central,OFF-BI-10000756,Office Supplies,Binders,2.5440,3,0.80,-3.8160
CA-2014-105893,"2014-11-11","2014-11-18",Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,"53711",Central,OFF-ST-10004186,Office Supplies,Storage,665.8800,6,0.00,13.3176
CA-2014-167164,"2014-05-13","2014-05-15",Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,"84084",West,OFF-ST-10000107,Office Supplies,Storage,55.5000,2,0.00,9.9900
CA-2014-143336,"2014-08-27","2014-09-01",Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,"94109",West,OFF-AR-10003056,Office Supplies,Art,8.5600,2,0.00,2.4824
CA-2014-143336,"2014-08-27","2014-09-01",Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,"94109",West,TEC-PH-10001949,Technology,Phones,213.4800,3,0.20,16.0110
